"PWS ID","PWS Name","EPA Region","Primacy Agency","PWS Type","Primacy Type","Primary Source","Activity Status","Deactivation Date","Population Served Count","Rule Name","Violation Code","Violation Type","Violation Category Code","Is Health Based","Contaminant Name","Compliance Period Begin Date","Compliance Period End Date","Compliance Status","RTC Date","Enforcement Action Type Code","Enforcement Action Description","Is Major Violation","Severity Indicator Count","Public Notification Tier","Violation First Reported Date"
"VT0020523","DERBY BOYS LLC","Region 1","Vermont","Non-Transient non-community system","State","Ground water","Active","-","65","Lead and Copper Rule","51","Initial Tap Sampling for Pb and Cu","MR","N","Lead and Copper Rule","01-JAN-2017","-","Open","-","SIE","State Public Notification requested","-","-","3","15-MAY-2017"
"VT0021340","BORDER PATROL STATION SWANTON","Region 1","Vermont","Non-Transient non-community system","State","Ground water","Active","-","112","Lead and Copper Rule","51","Initial Tap Sampling for Pb and Cu","MR","N","Lead and Copper Rule","01-JAN-2017","-","Open","-","SIF","State Public Notification received","-","-","3","15-MAY-2017"
"VT0021512","HIGHGATE METHODIST CHURCH","Region 1","Vermont","Non-Transient non-community system","State","Ground water","Active","-","25","Lead and Copper Rule","51","Initial Tap Sampling for Pb and Cu","MR","N","Lead and Copper Rule","01-JAN-2017","-","Open","-","SIE","State Public Notification requested","-","-","3","15-MAY-2017"
"VT0000756","KILLINGTON SCHOOL OF RESORT MGMT FOR GMC","Region 1","Vermont","Non-Transient non-community system","State","Ground water","Active","-","35","Lead and Copper Rule","51","Initial Tap Sampling for Pb and Cu","MR","N","Lead and Copper Rule","01-JAN-2017","-","Open","-","SIF","State Public Notification received","-","-","3","15-MAY-2017"
"VT0021480","LAWRENCE SCHOOL FOR YOUNG CHILDREN, THE","Region 1","Vermont","Non-Transient non-community system","State","Ground water","Active","-","47","Lead and Copper Rule","51","Initial Tap Sampling for Pb and Cu","MR","N","Lead and Copper Rule","01-JAN-2017","-","Open","-","SIE","State Public Notification requested","-","-","3","15-MAY-2017"
"VT0005384","WHIFFLETREE CONDOMINIUM","Region 1","Vermont","Community water system","State","Ground water","Active","-","189","Lead and Copper Rule","52","Follow-up Or Routine LCR Tap M/R","MR","N","Lead and Copper Rule","01-OCT-2016","-","Open","-","SIF","State Public Notification received","-","-","3","24-FEB-2017"
"VT0006709","DORSET ELEMENTARY SCHOOL","Region 1","Vermont","Non-Transient non-community system","State","Ground water","Active","-","148","Lead and Copper Rule","52","Follow-up Or Routine LCR Tap M/R","MR","N","Lead and Copper Rule","01-OCT-2016","-","Open","-","SIF","State Public Notification received","-","-","3","24-FEB-2017"
"VT0020070","COMFORT INN APPLEBEES NEIGHBORHOOD GRIL","Region 1","Vermont","Non-Transient non-community system","State","Ground water","Changed from public to non-public","30-JAN-2017","143","Lead and Copper Rule","52","Follow-up Or Routine LCR Tap M/R","MR","N","Lead and Copper Rule","01-OCT-2016","-","Returned to Compliance","08-FEB-2017","SO0","State no longer subject to Rule","-","-","3","24-FEB-2017"
"VT0005598","LEDGES SYSTEM 1","Region 1","Vermont","Community water system","State","Ground water","Active","-","252","Lead and Copper Rule","52","Follow-up Or Routine LCR Tap M/R","MR","N","Lead and Copper Rule","01-OCT-2016","-","Open","-","SIE","State Public Notification requested","-","-","3","24-FEB-2017"
"VT0006080","SUNDERLAND ELEMENTARY SCHOOL","Region 1","Vermont","Non-Transient non-community system","State","Ground water","Active","-","88","Lead and Copper Rule","52","Follow-up Or Routine LCR Tap M/R","MR","N","Lead and Copper Rule","01-OCT-2016","-","Open","-","SIF","State Public Notification received","-","-","3","24-FEB-2017"
