Date,,Analyte,Code,Lab Number,<,Concentration Units,Sample,Facility,Sampling Location,,,
"",,,,,,,Point,ID,,,,
9/18/2017,RT,"COPPER, FREE",1022,1709-22178-001,N,0.093MG/L,LC001,DS001,BLDG #4 UNIT A,,,
9/18/2017,RT,"COPPER, FREE",1022,1709-22178-002,N,0.042MG/L,LC001,DS001,B  L  D  G#  5UN  I TA,,,
9/18/2017,RT,"COPPER, FREE",1022,1709-22178-003,N,0.075MG/L,LC001,DS001,B  L  D  G#  3UN  I TA,,,
9/18/2017,RT,"COPPER, FREE",1022,1709-22178-004,N,0.078MG/L,LC001,DS001,B  L  D  G#  2UN  I TB,,,
9/18/2017,RT,"COPPER, FREE",1022,1709-22178-005,N,0.062MG/L,LC001,DS001,BL  D  G#  1UN  I TA,,,
9/18/2017,RT,LEAD,1030,1709-22178-001,N,0.0136MG/L,LC001,DS001,BL  D  G#  4UN  I TA,,,
9/18/2017,RT,LEAD,1030,1709-22178-002,Y,,LC001,DS001,BL  D  G#  5UN  I TA,,,
9/18/2017,RT,LEAD,1030,1709-22178-003,N,0.0068MG/L,LC001,DS001,B  L  D  G#  3UN  I TA,,,
9/18/2017,RT,LEAD,1030,1709-22178-004,N,0.0052MG/L,LC001,DS001,B  L  D  G#  2UN  I TB,,,
9/18/2017,RT,LEAD,1030,1709-22178-005,N,0.0014MG/L,LC001,DS001,BL  D  G#  1UN  I TA,,,
4/20/2016,RT,"COPPER, FREE",1022,1604-07818-001,N,0.085MG/L,LC001,DS001,"WS  I D5  2  4  0  ,B  L  DG#  5  ,U  N",I T,,C
4/20/2016,RT,"COPPER, FREE",1022,1604-07818-002,N,0.047MG/L,LC001,DS001,"WS  I D5  2  4  0  ,B  L  DG#  4  ,U  N",I T,,C
4/20/2016,RT,"COPPER, FREE",1022,1604-07818-003,N,0.037MG/L,LC001,DS001,"WS  I D5  2  4  0  ,B  L  DG#  3  ,U  N",I T,,C
4/20/2016,RT,"COPPER, FREE",1022,1604-07818-004,N,0.046MG/L,LC001,DS001,"WS  I D5  2  4  0  ,B  L  DG#  2  ,U  N",I T,,C
4/20/2016,RT,"COPPER, FREE",1022,1604-07818-005,N,0.038MG/L,LC001,DS001,"WS  I D5  2  4  0  ,B  L  DG#  1  ,U  N",I T,,C
4/20/2016,RT,LEAD,1030,1604-07818-001,N,0.001MG/L,LC001,DS001,"WS  I D5  2  4  0  ,B  L  DG#  5  ,U  N",I T,,C
4/20/2016,RT,LEAD,1030,1604-07818-002,N,0.004MG/L,LC001,DS001,"WS  I D5  2  4  0  ,B  L  DG#  4  ,U  N",I T,,C
4/20/2016,RT,LEAD,1030,1604-07818-003,Y,,LC001,DS001,"WS  I D5  2  4  0  ,B  L  DG#  3  ,U  N",I T,,C
4/20/2016,RT,LEAD,1030,1604-07818-004,N,0.003MG/L,LC001,DS001,"WS  I D5  2  4  0  ,B  L  DG#  2  ,U  N",I T,,C
4/20/2016,RT,LEAD,1030,1604-07818-005,Y,,LC001,DS001,"WS  I D5  2  4  0  ,B  L  DG#  1  ,U  N",I T,,C
10/21/2015,RT,"COPPER, FREE",1022,1510-22876-001,N,0.029MG/L,LC001,DS001,"WS  I D5  2  4  0  ,B  UI L  D  I NG","1  ,",,
10/21/2015,RT,"COPPER, FREE",1022,1510-22876-002,N,0.070MG/L,LC001,DS001,"UWNSIITD D 5 2  4  0  ,B  UI L  DING","2  ,",,
10/21/2015,RT,"COPPER, FREE",1022,1510-22876-003,N,0.028MG/L,LC001,DS001,"WUNSIITD B 5 2  4  0  ,BU  I L  DI N  G","3  ,",,
10/21/2015,RT,"COPPER, FREE",1022,1510-22876-004,N,0.024MG/L,LC001,DS001,"UWNSIITD  B5 2  4  0  ,BU  I L  DI N  G","4  ,",,
10/21/2015,RT,"COPPER, FREE",1022,1510-22876-005,N,0.21MG/L,LC001,DS001,"WUNSIITD D 5 2  4  0  ,B  UI L  DING","5  ,",,
10/21/2015,RT,"COPPER, FREE",1022,1510-22876-006,N,0.025MG/L,LC001,DS001,"WUNSIITD C 5 2  4  0  ,B  UI L  D  I NG","6  ,",,
10/21/2015,RT,LEAD,1030,1510-22876-001,N,0.007MG/L,LC001,DS001,"WUNSIITD B 5 2  4  0  ,BU  I L  DI N  G","1  ,",,
10/21/2015,RT,LEAD,1030,1510-22876-002,N,0.007MG/L,LC001,DS001,"UWNSIITD D 5 2  4  0  ,B  UI L  DING","2  ,",,
10/21/2015,RT,LEAD,1030,1510-22876-003,Y,,LC001,DS001,"UWNSIITD  B5 2  4  0  ,BU  I L  DI N  G","3  ,",,
10/21/2015,RT,LEAD,1030,1510-22876-004,N,0.002MG/L,LC001,DS001,"WUNSIITD B 5 2  4  0  ,B  UI L  DI N  G","4  ,",,
10/21/2015,RT,LEAD,1030,1510-22876-005,N,0.002MG/L,LC001,DS001,"UWNSIITD D 5 2  4  0  ,B  UI L  DING","5  ,",,
10/21/2015,RT,LEAD,1030,1510-22876-006,N,0.002MG/L,LC001,DS001,"WUNSIITD C 5 2  4  0  ,B  UI L  DING","6  ,",,
5/20/2015,RT,"COPPER, FREE",1022,1505-09229-001,N,0.024MG/L,LC001,DS001,"WUNSIITD  B5 2  4  0  ,B  UI L  DI N  G","4  ,",,
5/20/2015,RT,"COPPER, FREE",1022,1505-09229-002,N,0.030MG/L,LC001,DS001,"UWNSIITD  D5 2  4  0  ,B  UI L  DING","5  ,",,
