Date,,Analyte,Code,Lab Number,<,Concentration Units,Sample,Facility,Sampling Location,,
"",,,,,,,Point,ID,,,
9/29/2015,RT,"COPPER, FREE",1022,1509-21060-001,Y,,LC001,DS001,UNIT 8,,
9/29/2015,RT,"COPPER, FREE",1022,1509-21060-002,Y,,LC001,DS001,WE  L  LBL  D  G,,
9/29/2015,RT,"COPPER, FREE",1022,1509-21060-003,Y,,LC001,DS001,UNI T1  2,,
9/29/2015,RT,"COPPER, FREE",1022,1509-21060-004,Y,,LC001,DS001,UNI T1,,
9/29/2015,RT,"COPPER, FREE",1022,1509-21060-005,Y,,LC001,DS001,U  NI T1  0,,
9/29/2015,RT,LEAD,1030,1509-21060-001,Y,,LC001,DS001,UNI T8,,
9/29/2015,RT,LEAD,1030,1509-21060-002,Y,,LC001,DS001,WE  L  LBL  D  G,,
9/29/2015,RT,LEAD,1030,1509-21060-003,Y,,LC001,DS001,U  NI T1  2,,
9/29/2015,RT,LEAD,1030,1509-21060-004,Y,,LC001,DS001,UNI T1,,
9/29/2015,RT,LEAD,1030,1509-21060-005,Y,,LC001,DS001,U  NI T1  0,,
9/21/2012,RT,"COPPER, FREE",1022,12-IB-00466-001,Y,,LC001,DS001,U  NI T#  5D  OWN  ST  A  I RS,BA  T  H,
9/21/2012,RT,"COPPER, FREE",1022,12-IB-00467-001,Y,,LC001,DS001,U^ NSUITG #A6R KBITUCSHHE NNO SRITNHK  R^ D,,
9/21/2012,RT,"COPPER, FREE",1022,12-IB-00468-001,Y,,LC001,DS001,SUUNGITA #R1B0U USPHS NTAOIRRTSH B RADTH,,^
9/21/2012,RT,"COPPER, FREE",1022,12-IB-00469-001,Y,,LC001,DS001,USUNGITA #R1B1U USPHS NTAOIRRTSH B RADTH,,^
9/21/2012,RT,"COPPER, FREE",1022,12-IB-00470-001,Y,,LC001,DS001,USUNGITA #R1B5U USPHS NTAOIRRTSH B RADTH,,^
9/21/2012,RT,LEAD,1030,12-IB-00466-001,N,0.002MG/L,LC001,DS001,USUNGITA #R5B DUOSWH NNSOTRATIRHS R BDA  T,,H
9/21/2012,RT,LEAD,1030,12-IB-00467-001,Y,,LC001,DS001,^U NSUITG #A6R KBITUCSHHE NNO SRITNHK  R^ D,,
9/21/2012,RT,LEAD,1030,12-IB-00468-001,N,0.002MG/L,LC001,DS001,USUNGITA #R1B0U USPHS NTAOIRRTSH B RADTH,,^
9/21/2012,RT,LEAD,1030,12-IB-00469-001,N,0.002MG/L,LC001,DS001,USUNGITA #R1B1U USPHS NTAOIRRTSH B RADTH,,^
9/21/2012,RT,LEAD,1030,12-IB-00470-001,N,0.002MG/L,LC001,DS001,SUUNGITA #R1B5U USPHS NTAOIRRTSH B RADTH,,^
3/23/2012,RT,"COPPER, FREE",1022,12-IC-00954-001,Y,,EP003,TP003,SUUNGITA #R6B KUISTCHH NEONR STIHN KR D,,
3/23/2012,RT,LEAD,1030,12-IC-00954-001,Y,,EP003,TP003,U  NI T#  6K  I T  CHE  NS  I NK,,
9/28/2009,RT,"COPPER, FREE",1022,10I0563,Y,,LC001,DS001,UP  ST  A  I RSBA  T  HUN  I T,"#  1  5",
9/28/2009,RT,"COPPER, FREE",1022,10I0564,Y,,LC001,DS001,U  P  ST  A  I RSBA  T  HUN  I T,"#  1  0",
9/28/2009,RT,"COPPER, FREE",1022,10I0565,Y,,LC001,DS001,DOWNS  T  AI R  SB  AT  H5,,
9/28/2009,RT,"COPPER, FREE",1022,10I0566,Y,,LC001,DS001,U  NI TS  T  AI R  SB  AT  HUN,I T,"#  1  1"
9/28/2009,RT,"COPPER, FREE",1022,10I0567,Y,,LC001,DS001,D  OWNS  T  AI R  SB  AT  HUN,I T,1  2
9/28/2009,RT,LEAD,1030,10I0563,Y,,LC001,DS001,U  P  ST  A  I RSBA  T  HUN  I T,"#  1  5",
9/28/2009,RT,LEAD,1030,10I0564,Y,,LC001,DS001,UP  ST  A  I RSBA  T  HUN  I T,"#  1  0",
9/28/2009,RT,LEAD,1030,10I0565,Y,,LC001,DS001,D  OWNS  T  AI R  SB  AT  H5,,
9/28/2009,RT,LEAD,1030,10I0566,Y,,LC001,DS001,UNI TS  T  AI R  SB  AT  HUN,I T,"#  1  1"
9/28/2009,RT,LEAD,1030,10I0567,Y,,LC001,DS001,D  OWNS  T  AI R  SB  AT  HUN,I T,1  2
9/26/2006,RT,"COPPER, FREE",1022,07I0717,Y,,LC001,DS001,U  NI T1  0  / U  PS  T  AI R  SB  AT  H,,
9/26/2006,RT,"COPPER, FREE",1022,07I0718,Y,,LC001,DS001,UTUNBIT1  2  / D  OWNB  AT  HT  U  B,,
