Date,,Analyte,Code,Lab Number,<,Concentration Units,Sample,Facility,Sampling Location
"",,,,,,,Point,ID,
3/31/1998,RT,"COPPER, FREE",1022,P9815501,N,0.35MG/L,EP-HIST,SS001,
"",,,,,,,,,
3/31/1998,RT,LEAD,1030,P9815501,Y,,EP-HIST,SS001,
"",,,,,,,,,
7/17/1996,RT,"COPPER, FREE",1022,P97241,N,1.85MG/L,EP-HIST,SS001,
"",,,,,,,,,
7/17/1996,RT,"COPPER, FREE",1022,P97242,N,0.29MG/L,EP-HIST,SS001,
"",,,,,,,,,
7/17/1996,RT,"COPPER, FREE",1022,P97243,N,0.59MG/L,EP-HIST,SS001,
"",,,,,,,,,
7/17/1996,RT,"COPPER, FREE",1022,P97244,N,0.5MG/L,EP-HIST,SS001,
"",,,,,,,,,
7/17/1996,RT,"COPPER, FREE",1022,P97245,N,3.18MG/L,EP-HIST,SS001,
"",,,,,,,,,
7/17/1996,RT,LEAD,1030,P97241,N,0.012MG/L,EP-HIST,SS001,
"",,,,,,,,,
7/17/1996,RT,LEAD,1030,P97242,Y,,EP-HIST,SS001,
"",,,,,,,,,
7/17/1996,RT,LEAD,1030,P97243,N,0.009MG/L,EP-HIST,SS001,
"",,,,,,,,,
7/17/1996,RT,LEAD,1030,P97244,Y,,EP-HIST,SS001,
"",,,,,,,,,
7/17/1996,RT,LEAD,1030,P97245,N,0.011MG/L,EP-HIST,SS001,
"",,,,,,,,,
10/17/1995,RT,"COPPER, FREE",1022,P961471,N,0.33MG/L,EP-HIST,SS001,
"",,,,,,,,,
10/17/1995,RT,"COPPER, FREE",1022,P961472,N,0.11MG/L,EP-HIST,SS001,
"",,,,,,,,,
10/17/1995,RT,"COPPER, FREE",1022,P961473,N,0.2MG/L,EP-HIST,SS001,
"",,,,,,,,,
10/17/1995,RT,"COPPER, FREE",1022,P961474,N,0.17MG/L,EP-HIST,SS001,
"",,,,,,,,,
10/17/1995,RT,"COPPER, FREE",1022,P961475,N,0.08MG/L,EP-HIST,SS001,
"",,,,,,,,,
10/17/1995,RT,"COPPER, FREE",1022,P961476,Y,,EP-HIST,SS001,
"",,,,,,,,,
10/17/1995,RT,"COPPER, FREE",1022,P961477,N,0.19MG/L,EP-HIST,SS001,
"",,,,,,,,,
10/17/1995,RT,"COPPER, FREE",1022,P961478,N,0.08MG/L,EP-HIST,SS001,
"",,,,,,,,,
10/17/1995,RT,"COPPER, FREE",1022,P961479,Y,,EP-HIST,SS001,
