Date,,Analyte,Code,Lab Number,<,Concentration Units,Sample,Facility,Sampling Location,,
"",,,,,,,Point,ID,,,
9/25/2017,RT,"COPPER, FREE",1022,1709-22916-001,Y,,LC001,DS001,"WSID 5577, UNIT 4",,
9/25/2017,RT,"COPPER, FREE",1022,1709-22916-002,Y,,LC001,DS001,"WS  I D5  5  7  7  ,U  NI T6",,
9/25/2017,RT,"COPPER, FREE",1022,1709-22916-003,N,0.035MG/L,LC001,DS001,"WS  I D5  5  7  7  ,U  NI T1  3",,
9/25/2017,RT,"COPPER, FREE",1022,1709-22916-004,N,0.022MG/L,LC001,DS001,"WS  I D5  5  7  7  ,U  NI T1  4",,
9/25/2017,RT,"COPPER, FREE",1022,1709-22916-005,N,0.024MG/L,LC001,DS001,"WS  I D5  5  7  7  ,U  NI T1  7",,
9/25/2017,RT,LEAD,1030,1709-22916-001,Y,,LC001,DS001,"WS  I D5  5  7  7  ,U  NI T4",,
9/25/2017,RT,LEAD,1030,1709-22916-002,Y,,LC001,DS001,"WS  I D5  5  7  7  ,U  NI T6",,
9/25/2017,RT,LEAD,1030,1709-22916-003,Y,,LC001,DS001,"WS  I D5  5  7  7  ,U  NI T1  3",,
9/25/2017,RT,LEAD,1030,1709-22916-004,Y,,LC001,DS001,"WS  I D5  5  7  7  ,U  NI T1  4",,
9/25/2017,RT,LEAD,1030,1709-22916-005,Y,,LC001,DS001,"WS  I D5  5  7  7  ,U  NI T1  7",,
8/19/2014,RT,"COPPER, FREE",1022,1408-16845-001,Y,,LC001,DS001,"WS  I D5  5  7  7  ,U  NI T1",,
8/19/2014,RT,"COPPER, FREE",1022,1408-16845-002,Y,,LC001,DS001,"WS  I D5  5  7  7  ,U  NI T1  3",,
8/19/2014,RT,"COPPER, FREE",1022,1408-16845-003,Y,,LC001,DS001,"WS  I D5  5  7  7  ,U  NI T1  4",,
8/19/2014,RT,"COPPER, FREE",1022,1408-16845-004,Y,,LC001,DS001,"WS  I D5  5  7  7  ,P  UMPROO  M",,1
8/19/2014,RT,"COPPER, FREE",1022,1408-16845-005,Y,,LC001,DS001,"WS  I D5  5  7  7  ,P  UMPROO  M",,2
8/19/2014,RT,LEAD,1030,1408-16845-001,Y,,LC001,DS001,"WS  I D5  5  7  7  ,U  NI T1",,
8/19/2014,RT,LEAD,1030,1408-16845-002,Y,,LC001,DS001,"WS  I D5  5  7  7  ,U  NI T1  3",,
8/19/2014,RT,LEAD,1030,1408-16845-003,Y,,LC001,DS001,"WS  I D5  5  7  7  ,U  NI T1  4",,
8/19/2014,RT,LEAD,1030,1408-16845-004,Y,,LC001,DS001,"WS  I D5  5  7  7  ,P  UMPROO  M",,1
8/19/2014,RT,LEAD,1030,1408-16845-005,Y,,LC001,DS001,"WS  I D5  5  7  7  ,P  UMPROO  M",,2
9/12/2011,RT,"COPPER, FREE",1022,IN36557,Y,,LC001,DS001,UNI T7,,
9/12/2011,RT,"COPPER, FREE",1022,IN36560,Y,,LC001,DS001,U  NI T1  6,,
9/12/2011,RT,"COPPER, FREE",1022,IN36569,Y,,LC001,DS001,UNI T1  4,,
9/12/2011,RT,"COPPER, FREE",1022,IN36898,Y,,LC001,DS001,U  NI T4,,
9/12/2011,RT,"COPPER, FREE",1022,IN36922,Y,,LC001,DS001,UNI T2,,
9/12/2011,RT,LEAD,1030,IN36557,Y,,LC001,DS001,U  NI T7,,
9/12/2011,RT,LEAD,1030,IN36560,Y,,LC001,DS001,UNI T1  6,,
9/12/2011,RT,LEAD,1030,IN36569,Y,,LC001,DS001,UNI T1  4,,
9/12/2011,RT,LEAD,1030,IN36898,Y,,LC001,DS001,U  NI T4,,
9/12/2011,RT,LEAD,1030,IN36922,Y,,LC001,DS001,U  NI T2,,
10/7/2008,RT,"COPPER, FREE",1022,09I0549,N,0.09MG/L,LC001,DS001,U  NI T3,,
10/7/2008,RT,"COPPER, FREE",1022,09I0550,N,0.07MG/L,LC001,DS001,UNI T5,,
10/7/2008,RT,"COPPER, FREE",1022,09I0551,N,0.04MG/L,LC001,DS001,UNI T6,,
10/7/2008,RT,"COPPER, FREE",1022,09I0552,N,0.07MG/L,LC001,DS001,UNI T7,,
