Date,,Analyte,Code,Lab Number,<,Concentration Units,Sample,Facility,Sampling Location,
"",,,,,,,Point,ID,,
9/12/2017,RT,"COPPER, FREE",1022,17-IB-00270-001,Y,,LC001,DS001,LOT 19,
9/12/2017,RT,"COPPER, FREE",1022,17-IB-00271-001,Y,,LC001,DS001,LO  T1  0,
9/12/2017,RT,"COPPER, FREE",1022,17-IB-00272-001,Y,,LC001,DS001,L OT1  6,
9/12/2017,RT,"COPPER, FREE",1022,17-IB-00273-001,Y,,LC001,DS001,L  O  T4  4,
9/12/2017,RT,"COPPER, FREE",1022,17-IB-00274-001,Y,,LC001,DS001,L  OT6,
9/12/2017,RT,LEAD,1030,17-IB-00270-001,Y,,LC001,DS001,L OT1  9,
9/12/2017,RT,LEAD,1030,17-IB-00271-001,Y,,LC001,DS001,LO  T1  0,
9/12/2017,RT,LEAD,1030,17-IB-00272-001,Y,,LC001,DS001,L  OT1  6,
9/12/2017,RT,LEAD,1030,17-IB-00273-001,Y,,LC001,DS001,LO  T4  4,
9/12/2017,RT,LEAD,1030,17-IB-00274-001,Y,,LC001,DS001,LO  T6,
5/18/2016,RT,"COPPER, FREE",1022,16-IC-01630-001,Y,,EP001,TP001,WE  L  LHOU  SE,
5/18/2016,RT,LEAD,1030,16-IC-01630-001,Y,,EP001,TP001,WE  L  LHOU  SE,
6/11/2014,RT,"COPPER, FREE",1022,14-IB-00249-001,N,0.07MG/L,LC001,DS001,4  4,
6/11/2014,RT,"COPPER, FREE",1022,14-IB-00250-001,N,0.05MG/L,LC001,DS001,1  9,
6/11/2014,RT,"COPPER, FREE",1022,14-IB-00251-001,N,0.03MG/L,LC001,DS001,1 6,
6/11/2014,RT,"COPPER, FREE",1022,14-IB-00252-001,N,0.07MG/L,LC001,DS001,1  0,
6/11/2014,RT,"COPPER, FREE",1022,14-IB-00253-001,N,0.06MG/L,LC001,DS001,6,
6/11/2014,RT,LEAD,1030,14-IB-00249-001,N,0.001MG/L,LC001,DS001,44,
6/11/2014,RT,LEAD,1030,14-IB-00250-001,N,0.001MG/L,LC001,DS001,1  9,
6/11/2014,RT,LEAD,1030,14-IB-00251-001,Y,,LC001,DS001,16,
6/11/2014,RT,LEAD,1030,14-IB-00252-001,N,0.001MG/L,LC001,DS001,1  0,
6/11/2014,RT,LEAD,1030,14-IB-00253-001,Y,,LC001,DS001,6,
5/20/2013,RT,"COPPER, FREE",1022,13-IC-01784-001,Y,,EP001,TP001,WE  L  LHOU  SE^R  I VE  R,
5/20/2013,RT,LEAD,1030,13-IC-01784-001,Y,,EP001,TP001,WSTERLELE HTOU  S  E^R  I VE  R,
8/15/2011,RT,"COPPER, FREE",1022,12I0135,Y,,LC001,DS001,SLOTRT E6E KTI T  CH  E  NS  I NK  / RI V  E,R
8/15/2011,RT,"COPPER, FREE",1022,12I0136,Y,,LC001,DS001,SLOT T1  0,
8/15/2011,RT,"COPPER, FREE",1022,12I0137,Y,,LC001,DS001,L  O  T1  6,
8/15/2011,RT,"COPPER, FREE",1022,12I0138,Y,,LC001,DS001,LO  T1  9,
8/15/2011,RT,"COPPER, FREE",1022,12I0139,Y,,LC001,DS001,L  O  T4  4,
8/15/2011,RT,LEAD,1030,12I0135,Y,,LC001,DS001,L  OT6KI T  CH  ENSI N  K/ R  I VE  R,
8/15/2011,RT,LEAD,1030,12I0136,Y,,LC001,DS001,LSOT T1  0,
8/15/2011,RT,LEAD,1030,12I0137,Y,,LC001,DS001,L  OT1  6,
8/15/2011,RT,LEAD,1030,12I0138,Y,,LC001,DS001,L  O  T1  9,
8/15/2011,RT,LEAD,1030,12I0139,Y,,LC001,DS001,L  OT4  4,
