Date,,Analyte,Code,Lab Number,<,Concentration Units,Sample,Facility,Sampling Location,
"",,,,,,,Point,ID,,
9/15/2016,RT,"COPPER, FREE",1022,1609-21072-001,N,0.15MG/L,LC001,DS001,SEEKER BUILDING,
9/15/2016,RT,"COPPER, FREE",1022,1609-21072-002,N,0.099MG/L,LC001,DS001,D  OWNS  T  AI R  SK  I T  CHE  N,
9/15/2016,RT,"COPPER, FREE",1022,1609-21072-003,N,0.22MG/L,LC001,DS001,UP  ST  A  I RSKI T  CH  EN,
9/15/2016,RT,"COPPER, FREE",1022,1609-21072-004,N,0.049MG/L,LC001,DS001,TO  DDL  E  RR  OOMS  I NK,
9/15/2016,RT,"COPPER, FREE",1022,1609-21072-005,N,0.091MG/L,LC001,DS001,A  D  UL  TBA  T  HR  OOMS  I NK,
9/15/2016,RT,LEAD,1030,1609-21072-001,Y,,LC001,DS001,S  E  EK  E  RB  UI L  DI N  G,
9/15/2016,RT,LEAD,1030,1609-21072-002,Y,,LC001,DS001,DOWNS  T  AI R  SK  I T  CHE  N,
9/15/2016,RT,LEAD,1030,1609-21072-003,Y,,LC001,DS001,U  P  ST  A  I RSKI T  CH  EN,
9/15/2016,RT,LEAD,1030,1609-21072-004,Y,,LC001,DS001,TO  DDL  E  RR  OOMS  I NK,
9/15/2016,RT,LEAD,1030,1609-21072-005,N,0.004MG/L,LC001,DS001,A  D  UL  TBA  T  HR  OOMS  I NK,
8/20/2013,RT,"COPPER, FREE",1022,1309-17079-001,N,0.088MG/L,LC001,DS001,D  OWNS  T  AI R  SK  I T  CHE  N,
8/20/2013,RT,"COPPER, FREE",1022,1309-17079-002,N,0.20MG/L,LC001,DS001,T  O  DDL  E  RR  OOMS  I NK,
8/20/2013,RT,"COPPER, FREE",1022,1309-17079-003,N,0.25MG/L,LC001,DS001,UP  ST  A  I RSKI T  CH  EN,
8/20/2013,RT,"COPPER, FREE",1022,1309-17079-004,N,0.086MG/L,LC001,DS001,SE  EK  E  RB  L  DGS  I NK,
8/20/2013,RT,"COPPER, FREE",1022,1309-17079-005,N,0.32MG/L,LC001,DS001,LA  K  EF  R  ONTHO  SP  I T  AL  I T  Y,
8/20/2013,RT,LEAD,1030,1309-17079-001,N,0.002MG/L,LC001,DS001,DOWNS  T  AI R  SK  I T  CHE  N,
8/20/2013,RT,LEAD,1030,1309-17079-002,Y,,LC001,DS001,TO  DDL  E  RR  OOMS  I NK,
8/20/2013,RT,LEAD,1030,1309-17079-003,N,0.003MG/L,LC001,DS001,UP  ST  A  I RSKI T  CH  EN,
8/20/2013,RT,LEAD,1030,1309-17079-004,Y,,LC001,DS001,SE  EK  E  RB  L  DGS  I NK,
8/20/2013,RT,LEAD,1030,1309-17079-005,N,0.003MG/L,LC001,DS001,L  AK  EF  R  ONTHO  SP  I T  AL  I T  Y,
9/14/2010,RT,"COPPER, FREE",1022,1009-12482001,N,0.19MG/L,LC001,DS001,D  OWNS  T  AI R  SK  I T  CHE  N,
9/14/2010,RT,"COPPER, FREE",1022,1009-12482002,N,0.42MG/L,LC001,DS001,TO  DDL  E  RR  OOMS  I NK,
9/14/2010,RT,"COPPER, FREE",1022,1009-12482003,N,0.44MG/L,LC001,DS001,UP  ST  A  I RSKI T  CH  EN,
9/14/2010,RT,"COPPER, FREE",1022,1009-12482004,Y,,LC001,DS001,SE  EK  E  RB  UI L  DI N  GS  I NK,
9/14/2010,RT,"COPPER, FREE",1022,1009-12482005,N,0.10MG/L,LC001,DS001,L AK  EF  R  ONTHO  SP  I T  AL  I T  Y,
9/14/2010,RT,LEAD,1030,1009-12482001,Y,,LC001,DS001,BDLODWGN  S  TA  I RSK  I TC  HE  N,
9/14/2010,RT,LEAD,1030,1009-12482002,Y,,LC001,DS001,TO  DDL  E  RR  OOMS  I NK,
9/14/2010,RT,LEAD,1030,1009-12482003,N,0.001MG/L,LC001,DS001,UP  ST  A  I RSKI T  CH  EN,
9/14/2010,RT,LEAD,1030,1009-12482004,N,0.001MG/L,LC001,DS001,SE  EK  E  RB  UI L  DI N  GS  I NK,
9/14/2010,RT,LEAD,1030,1009-12482005,N,0.005MG/L,LC001,DS001,L  AK  EF  R  ONTHO  SP  I T  AL  I T  Y,
9/18/2007,RT,"COPPER, FREE",1022,307634,N,0.277MG/L,LC001,DS001,BTOLDDGD L  E  RR  OOMS  I NK,
9/18/2007,RT,"COPPER, FREE",1022,307635,N,0.141MG/L,LC001,DS001,DOWNS  T  AI R  SK  I T  CHE  N,
9/18/2007,RT,"COPPER, FREE",1022,307636,N,0.211MG/L,LC001,DS001,D  OWNS  T  AI R  SB  AT  H  ROO,M
9/18/2007,RT,"COPPER, FREE",1022,307637,N,0.340MG/L,LC001,DS001,UP  ST  A  I RK  I TC  HE  N,
