Date,,Analyte,Code,Lab Number,<,Concentration Units,Sample,Facility,Sampling Location,,,,
"",,,,,,,Point,ID,,,,,
8/3/2017,RT,"COPPER, FREE",1022,1708-17754-010,N,0.12MG/L,LC001,DS001,DEWEY 1867 ROOM,,,,
8/3/2017,RT,LEAD,1030,1708-17754-010,N,0.0013MG/L,LC001,DS001,D  E  WE  Y1  8  6  7R  OOM,,,,
8/2/2017,RT,"COPPER, FREE",1022,1708-17754-001,N,0.043MG/L,LC001,DS001,MCCL  E  L  L  E  NDH  AL  L,,,,
8/2/2017,RT,"COPPER, FREE",1022,1708-17754-002,N,0.073MG/L,LC001,DS001,MAR  TI N  ET  T  IS  TA  F  F,,,,
8/2/2017,RT,"COPPER, FREE",1022,1708-17754-003,N,0.11MG/L,LC001,DS001,SKITTECAHRENNSH  AL  LWE  STWA,,,,L  L
8/2/2017,RT,"COPPER, FREE",1022,1708-17754-004,N,0.19MG/L,LC001,DS001,AR  TH  URHA  L  LSU  I TE4  0  3,,,,
8/2/2017,RT,"COPPER, FREE",1022,1708-17754-005,N,0.060MG/L,LC001,DS001,LGAOVVS  T  AI R  WE  L  L,,,,
8/2/2017,RT,"COPPER, FREE",1022,1708-17754-006,N,0.088MG/L,LC001,DS001,LBLACT H1RSTO OFLM MEN  ' SL  AV,,,,
8/2/2017,RT,"COPPER, FREE",1022,1708-17754-007,N,0.049MG/L,LC001,DS001,A  P  T#  4  1L  AV,,,,
8/2/2017,RT,"COPPER, FREE",1022,1708-17754-008,N,0.027MG/L,LC001,DS001,BE  NT  L  E  Y2  N  DF  LWA  T  ER,,,,
8/2/2017,RT,"COPPER, FREE",1022,1708-17754-009,N,0.033MG/L,LC001,DS001,DCIOBODLEENR D  RE  SSROO  MB,,,,
8/2/2017,RT,LEAD,1030,1708-17754-001,N,0.0061MG/L,LC001,DS001,M  CCL  E  L  L  E  NDH  AL  L,,,,
8/2/2017,RT,LEAD,1030,1708-17754-002,Y,,LC001,DS001,M  AR  TI N  ET  T  IS  TA  F  F,,,,
8/2/2017,RT,LEAD,1030,1708-17754-003,Y,,LC001,DS001,SKITTECAHRENNSH  AL  LWE  STWA,,,,L  L
8/2/2017,RT,LEAD,1030,1708-17754-004,Y,,LC001,DS001,AR  TH  URHA  L  LSU  I TE4  0  3,,,,
8/2/2017,RT,LEAD,1030,1708-17754-005,N,0.0016MG/L,LC001,DS001,LGAOVVS  T  AI R  WE  L  L,,,,
8/2/2017,RT,LEAD,1030,1708-17754-006,Y,,LC001,DS001,LBLACT H1RSTO OFLM MEN  ' SL  AV,,,,
8/2/2017,RT,LEAD,1030,1708-17754-007,Y,,LC001,DS001,AP  T#  4  1L  AV,,,,
8/2/2017,RT,LEAD,1030,1708-17754-008,Y,,LC001,DS001,BE  NT  L  E  Y2  N  DF  LWA  T  ER,,,,
8/2/2017,RT,LEAD,1030,1708-17754-009,N,0.0026MG/L,LC001,DS001,CDIOBODLEENR D  RE  SSROO  MB,,,,
8/8/2016,SP,"COPPER, FREE",1022,1608-17336-001,N,0.036MG/L,LC001,DS001,DI BDRE  S  SR  OOMB,,,,
8/8/2016,SP,LEAD,1030,1608-17336-001,N,0.002MG/L,LC001,DS001,DI BDRE  S  SR  OOMB,,,,
7/7/2016,RT,"COPPER, FREE",1022,1607-14988-010,N,0.047MG/L,LC001,DS001,AP  T#  4  1L  AV,,,,
7/7/2016,RT,LEAD,1030,1607-14988-010,Y,,LC001,DS001,AP  T#  4  1L  AV,,,,
7/6/2016,RT,"COPPER, FREE",1022,1607-14988-001,N,0.060MG/L,LC001,DS001,MAC2  NDF  L  OO  RME  N' S,,,,
7/6/2016,RT,"COPPER, FREE",1022,1607-14988-002,N,0.038MG/L,LC001,DS001,RMOAOT MSTA  F  FKI T  C  HE  N,,,,
7/6/2016,RT,"COPPER, FREE",1022,1607-14988-003,N,0.14MG/L,LC001,DS001,S  T  EWE  STWAL  L,,,,
7/6/2016,RT,"COPPER, FREE",1022,1607-14988-004,N,0.25MG/L,LC001,DS001,AR  TS  UI T  E4  0  3,,,,
7/6/2016,RT,"COPPER, FREE",1022,1607-14988-005,N,0.082MG/L,LC001,DS001,GOVST  A  I RWEL  L,,,,
7/6/2016,RT,"COPPER, FREE",1022,1607-14988-006,N,0.061MG/L,LC001,DS001,BLLACT H1RSTO OFLM MEN  ' SL  AV,,,,
7/6/2016,RT,"COPPER, FREE",1022,1607-14988-007,Y,,LC001,DS001,B  E  N2  N  DF  LWA  T  ER,,,,
7/6/2016,RT,"COPPER, FREE",1022,1607-14988-008,N,0.22MG/L,LC001,DS001,CDIOBO DLEESRSRO  OMB,,,,
7/6/2016,RT,"COPPER, FREE",1022,1607-14988-009,N,0.21MG/L,LC001,DS001,D  E  W1  8  6  7R  OOM,,,,
7/6/2016,RT,LEAD,1030,1607-14988-001,N,0.005MG/L,LC001,DS001,MAC2  NDF  L  OO  RME  N' S,,,,
