"EPA Region","Submission Year","Submission Quarter","PWS ID","PWS Name","Primacy Agency Code","Contaminant Name","Sample Measure (mg/L)","Sampling Start Date","Sampling End Date","PWS Activity Code","PWS Type Code","Owner Type Description","Primacy Type Description","Population Served Count","Primary Source Code","PWS Deactivation Date","Season Begin Date","Season End Date","Is Wholesaler Ind","Is School Or Daycare Ind","Service Connections Count"
"01","2017","3","010502003","Narragansett Four Winds Community Center","01","COPPER SUMMARY","2.325","01/01/2017","06/30/2017","A","NTNCWS","Native American","Tribal","30","GW","-","01-01","12-31","N","Y","4"
"05","2017","3","050594210","NORTHERN LIGHTS CASINO","05","COPPER SUMMARY","1.478","01/01/2017","06/30/2017","A","NTNCWS","Native American","Tribal","1650","GW","-","01-01","12-31","N","N","1"
"05","2017","3","055293801","WAH WAHS NOO DA KE","05","COPPER SUMMARY","1.9","01/01/2014","12/31/2016","A","CWS","Native American","Tribal","25","GW","-","-","-","N","N","17"
"05","2017","3","055295301","NEW POST","05","COPPER SUMMARY","1.6","07/01/2016","12/31/2016","A","CWS","Native American","Tribal","150","GW","-","-","-","N","N","51"
"08","2017","3","083090050","ASSINIBOINE & SIOUX RURAL WATER SYSTEM","08","COPPER SUMMARY","2.03","01/01/2017","06/30/2017","A","CWS","Native American","Tribal","690","SW","-","-","-","Y","N","245"
"08","2017","3","083090051","POPLAR","08","COPPER SUMMARY","1.7","07/01/2016","12/31/2016","A","CWS","Native American","Tribal","2900","SWP","-","-","-","N","Y","970"
"08","2017","3","084990004","WHITE MESA WATER SYSTEM","08","COPPER SUMMARY","2.11","01/01/2014","12/31/2016","A","CWS","Native American","Tribal","300","GW","-","-","-","N","N","85"
"08","2017","3","084990006","KANOSH WATER SYSTEM","08","COPPER SUMMARY","119.94","01/01/2015","12/31/2017","A","CWS","Native American","Tribal","50","GW","-","-","-","N","N","16"
"09","2017","3","090400708","Casino Arizona","09","COPPER SUMMARY","1.5","01/01/2017","06/30/2017","A","NTNCWS","Private","Tribal","10500","GWP","-","01-01","12-31","N","N","1"
"09","2017","3","090400740","San Carlos Apache Health Center","09","COPPER SUMMARY","1.52","07/01/2016","12/31/2016","A","NTNCWS","Federal government","Tribal","733","GWP","-","01-01","12-31","N","N","14"
"09","2017","3","090600059","South Campo","09","COPPER SUMMARY","1.454","01/01/2014","12/31/2016","A","CWS","Native American","Tribal","48","GW","-","-","-","N","N","15"
"09","2017","3","090600133","Shanel Tribal Utility District","09","COPPER SUMMARY","1.55","01/01/2016","12/31/2016","A","CWS","Native American","Tribal","1000","GWP","-","-","-","N","N","80"
"09","2017","3","090600145","Point Arena Rancheria","09","COPPER SUMMARY","1.5","01/01/2014","12/31/2016","A","CWS","Native American","Tribal","425","GW","-","-","-","N","N","71"
"09","2017","3","090605143","Yurok - Terwer Water System","09","COPPER SUMMARY","1.8","01/01/2014","12/31/2016","A","CWS","Native American","Tribal","300","GW","-","-","-","N","N","160"
"09","2017","3","090605158","Campo Casino (Golden Acorn Casino)","09","COPPER SUMMARY","54","01/01/2014","12/31/2016","A","NTNCWS","Native American","Tribal","1000","GW","-","01-01","12-31","N","N","4"
"09","2017","3","090605158","Campo Casino (Golden Acorn Casino)","09","COPPER SUMMARY","56","01/01/2014","12/31/2016","A","NTNCWS","Native American","Tribal","1000","GW","-","01-01","12-31","N","N","4"
"09","2017","3","090605158","Campo Casino (Golden Acorn Casino)","09","COPPER SUMMARY","52","01/01/2014","12/31/2016","A","NTNCWS","Native American","Tribal","1000","GW","-","01-01","12-31","N","N","4"
"09","2017","3","093534021","Wingate High School - BIA","09","COPPER SUMMARY","2","01/01/2014","12/31/2016","A","CWS","Federal government","Tribal","910","GW","-","-","-","Y","Y","75"
"10","2017","3","104101132","BIA CHEMAWA INDIAN SCHOOL","10","COPPER SUMMARY","1.45","07/01/2017","12/31/2017","A","CWS","Federal government","Tribal","650","GW","-","-","-","N","Y","5"
"10","2017","3","104101132","BIA CHEMAWA INDIAN SCHOOL","10","COPPER SUMMARY","1.68","07/01/2016","12/31/2016","A","CWS","Federal government","Tribal","650","GW","-","-","-","N","Y","5"
"10","2017","3","105300016","QUILEUTE WATER SYSTEM","10","COPPER SUMMARY","1.55","01/01/2017","12/31/2017","A","CWS","Native American","Tribal","657","GW","-","-","-","N","N","196"
"10","2017","3","105300086","OLYMPIC PARK TRAILER CT","10","COPPER SUMMARY","3.6","07/01/2016","12/31/2016","A","CWS","Private","Tribal","50","GW","-","-","-","N","N","18"
"10","2017","3","105300086","OLYMPIC PARK TRAILER CT","10","COPPER SUMMARY","1.9","01/01/2015","12/31/2017","A","CWS","Private","Tribal","50","GW","-","-","-","N","N","18"
"10","2017","3","105300108","7 CEDARS CASINO","10","COPPER SUMMARY","2.51","01/01/2017","06/30/2017","A","NTNCWS","Native American","Tribal","450","GW","-","01-01","12-31","N","N","1"
"10","2017","3","105300120","WHISPERING CEDARS","10","COPPER SUMMARY","1.5","01/01/2016","12/31/2016","A","CWS","Native American","Tribal","25","GW","-","-","-","N","N","2"
"10","2017","3","105300120","WHISPERING CEDARS","10","COPPER SUMMARY","1.5","01/01/2016","12/31/2016","A","CWS","Native American","Tribal","25","GW","-","-","-","N","N","2"
"10","2017","3","AK2120012","VALLENAR VIEW MOBILE HOME PARK","AK","COPPER SUMMARY","1.64","01/01/2017","06/30/2017","A","CWS","Private","State","225","SW","-","-","-","N","N","77"
"10","2017","3","AK2130083","KAKE MUNICIPAL WATER","AK","COPPER SUMMARY","1.4","01/01/2017","06/30/2017","A","CWS","Local government","State","415","SW","-","-","-","N","N","410"
"10","2017","3","AK2240707","SELDOVIA WATER SYSTEM","AK","COPPER SUMMARY","1.9","07/01/2016","12/31/2016","A","CWS","Local government","State","418","SW","-","-","-","N","N","181"
"10","2017","3","AK2261460","SALMON ROE","AK","COPPER SUMMARY","1.8","01/01/2015","12/31/2017","A","CWS","Private","State","31","GW","-","-","-","N","N","7"
"10","2017","3","AK2271334","YUKON KUSKOKWIM CORRECTIONAL","AK","COPPER SUMMARY","2.46","07/01/2016","12/31/2016","A","NTNCWS","State government","State","200","GW","-","01-01","12-31","N","N","2"
"10","2017","3","AK2280302","CROOKED CREEK WATERING POINT","AK","COPPER SUMMARY","2.65","07/01/2016","12/31/2016","A","CWS","Native American","State","147","GW","-","-","-","N","N","3"
"10","2017","3","AK2291504","GLENNALLEN HEIGHTS GHWSA","AK","COPPER SUMMARY","1.442","01/01/2014","12/31/2016","N","CWS","Private","State","20","GW","13-JUL-2017","01-01","12-31","N","N","12"
"10","2017","3","AK2292099","ALASKA BIBLE COLLEGE","AK","COPPER SUMMARY","1.3655","01/01/2014","12/31/2016","A","CWS","Private","State","50","GW","-","-","-","N","N","18"
"10","2017","3","AK2299001","CRBRHA CHITINA HUD HOUSING","AK","COPPER SUMMARY","2.6","01/01/2014","12/31/2016","A","CWS","Public/Private","State","50","GW","-","-","-","N","N","15"
"10","2017","3","AK2300816","ALLAKAKET PUBLIC WATER SYSTEM","AK","COPPER SUMMARY","1.6","01/01/2015","12/31/2017","A","CWS","Native American","State","192","GW","-","-","-","N","N","2"
"10","2017","3","AK2340125","BUCKLAND WATER SYSTEM","AK","COPPER SUMMARY","2.8","01/01/2017","06/30/2017","A","CWS","Local government","State","461","SW","-","-","-","N","N","101"
"10","2017","3","AK2340141","LITTLE DIOMEDE WATER SUPPLY","AK","COPPER SUMMARY","4.1","07/01/2016","12/31/2016","A","CWS","Native American","State","184","SW","-","-","-","N","N","5"
"10","2017","3","AK2340141","LITTLE DIOMEDE WATER SUPPLY","AK","COPPER SUMMARY","3.2","01/01/2017","06/30/2017","A","CWS","Native American","State","184","SW","-","-","-","N","N","5"
"10","2017","3","AK2340222","DEERING UTILITY SYSTEM","AK","COPPER SUMMARY","1.53","07/01/2016","12/31/2016","A","CWS","Local government","State","150","SW","-","-","-","N","N","3"
"10","2017","3","AK2340248","BERING ST SD - TELLER SC/WASH","AK","COPPER SUMMARY","1.78","07/01/2016","12/31/2016","A","CWS","Local government","State","295","SW","-","-","-","N","N","1"
"10","2017","3","AK2340387","UNALAKLEET CITY WATER SUPPLY","AK","COPPER SUMMARY","3.61","01/01/2014","12/31/2016","A","CWS","Local government","State","757","GU","-","-","-","N","N","245"
"10","2017","3","AK2360816","RAMPART WASHETERIA","AK","COPPER SUMMARY","1.8","01/01/2017","06/30/2017","A","CWS","Native American","State","53","GW","-","-","-","N","N","4"
"10","2017","3","AK2360816","RAMPART WASHETERIA","AK","COPPER SUMMARY","1.65","07/01/2016","12/31/2016","A","CWS","Native American","State","53","GW","-","-","-","N","N","4"
"04","2017","3","AL0000259","MID-CLARKE WATER SYSTEM","AL","COPPER SUMMARY","1.97","01/01/2014","12/31/2016","A","CWS","Local government","State","1500","GWP","-","-","-","N","N","500"
"04","2017","3","AL0000259","MID-CLARKE WATER SYSTEM","AL","COPPER SUMMARY","1.83","01/01/2017","06/30/2017","A","CWS","Local government","State","1500","GWP","-","-","-","N","N","500"
