"EPA Region","Submission Year","Submission Quarter","PWS ID","PWS Name","Primacy Agency Code","Contaminant Name","Sample Measure (mg/L)","Sampling Start Date","Sampling End Date","PWS Activity Code","PWS Type Code","Owner Type Description","Primacy Type Description","Population Served Count","Primary Source Code","PWS Deactivation Date","Season Begin Date","Season End Date","Is Wholesaler Ind","Is School Or Daycare Ind","Service Connections Count"
"01","2017","3","010502003","Narragansett Four Winds Community Center","01","COPPER SUMMARY","2.325","01/01/2017","06/30/2017","A","NTNCWS","Native American","Tribal","30","GW","-","01-01","12-31","N","Y","4"
"05","2017","3","050594210","NORTHERN LIGHTS CASINO","05","COPPER SUMMARY","1.478","01/01/2017","06/30/2017","A","NTNCWS","Native American","Tribal","1650","GW","-","01-01","12-31","N","N","1"
"05","2017","3","055294701","NAYTAHWAUSH","05","COPPER SUMMARY","2.04","01/01/2016","06/30/2016","A","CWS","Native American","Tribal","462","GW","-","-","-","N","N","138"
"05","2017","3","055295301","NEW POST","05","COPPER SUMMARY","1.6","07/01/2016","12/31/2016","A","CWS","Native American","Tribal","150","GW","-","-","-","N","N","51"
"08","2017","3","083090050","ASSINIBOINE & SIOUX RURAL WATER SYSTEM","08","COPPER SUMMARY","2.03","01/01/2017","06/30/2017","A","CWS","Native American","Tribal","690","SW","-","-","-","Y","N","245"
"08","2017","3","083090050","ASSINIBOINE & SIOUX RURAL WATER SYSTEM","08","COPPER SUMMARY","3.17","01/01/2016","06/30/2016","A","CWS","Native American","Tribal","690","SW","-","-","-","Y","N","245"
"08","2017","3","083090051","POPLAR","08","COPPER SUMMARY","1.7","07/01/2016","12/31/2016","A","CWS","Native American","Tribal","2900","SWP","-","-","-","N","Y","970"
"09","2017","3","090400708","Casino Arizona","09","COPPER SUMMARY","1.5","01/01/2017","06/30/2017","A","NTNCWS","Private","Tribal","10500","GWP","-","01-01","12-31","N","N","1"
"09","2017","3","090400740","San Carlos Apache Health Center","09","COPPER SUMMARY","1.92","01/01/2016","06/30/2016","A","NTNCWS","Federal government","Tribal","733","GWP","-","01-01","12-31","N","N","14"
"09","2017","3","090400740","San Carlos Apache Health Center","09","COPPER SUMMARY","1.52","07/01/2016","12/31/2016","A","NTNCWS","Federal government","Tribal","733","GWP","-","01-01","12-31","N","N","14"
"09","2017","3","090600133","Shanel Tribal Utility District","09","COPPER SUMMARY","1.55","01/01/2016","12/31/2016","A","CWS","Native American","Tribal","1000","GWP","-","-","-","N","N","80"
"10","2017","3","104101132","BIA CHEMAWA INDIAN SCHOOL","10","COPPER SUMMARY","1.68","07/01/2016","12/31/2016","A","CWS","Federal government","Tribal","650","GW","-","-","-","N","Y","5"
"10","2017","3","104101132","BIA CHEMAWA INDIAN SCHOOL","10","COPPER SUMMARY","1.45","07/01/2017","12/31/2017","A","CWS","Federal government","Tribal","650","GW","-","-","-","N","Y","5"
"10","2017","3","105300016","QUILEUTE WATER SYSTEM","10","COPPER SUMMARY","1.55","01/01/2017","12/31/2017","A","CWS","Native American","Tribal","657","GW","-","-","-","N","N","196"
"10","2017","3","105300086","OLYMPIC PARK TRAILER CT","10","COPPER SUMMARY","4","01/01/2016","06/30/2016","A","CWS","Private","Tribal","50","GW","-","-","-","N","N","18"
"10","2017","3","105300086","OLYMPIC PARK TRAILER CT","10","COPPER SUMMARY","3.6","07/01/2016","12/31/2016","A","CWS","Private","Tribal","50","GW","-","-","-","N","N","18"
"10","2017","3","105300108","7 CEDARS CASINO","10","COPPER SUMMARY","10.5","01/01/2016","06/30/2016","A","NTNCWS","Native American","Tribal","450","GW","-","01-01","12-31","N","N","1"
"10","2017","3","105300108","7 CEDARS CASINO","10","COPPER SUMMARY","2.51","01/01/2017","06/30/2017","A","NTNCWS","Native American","Tribal","450","GW","-","01-01","12-31","N","N","1"
"10","2017","3","105300120","WHISPERING CEDARS","10","COPPER SUMMARY","1.5","01/01/2016","12/31/2016","A","CWS","Native American","Tribal","25","GW","-","-","-","N","N","2"
"10","2017","3","105300120","WHISPERING CEDARS","10","COPPER SUMMARY","1.5","01/01/2016","12/31/2016","A","CWS","Native American","Tribal","25","GW","-","-","-","N","N","2"
"10","2017","3","AK2120012","VALLENAR VIEW MOBILE HOME PARK","AK","COPPER SUMMARY","1.64","01/01/2017","06/30/2017","A","CWS","Private","State","225","SW","-","-","-","N","N","77"
"10","2017","3","AK2120012","VALLENAR VIEW MOBILE HOME PARK","AK","COPPER SUMMARY","1.7","01/01/2016","06/30/2016","A","CWS","Private","State","225","SW","-","-","-","N","N","77"
"10","2017","3","AK2121485","WAL-MART","AK","COPPER SUMMARY","1.8","01/01/2016","06/30/2016","A","NTNCWS","Private","State","110","GW","-","01-01","12-31","N","N","1"
"10","2017","3","AK2130083","KAKE MUNICIPAL WATER","AK","COPPER SUMMARY","1.4","01/01/2017","06/30/2017","A","CWS","Local government","State","415","SW","-","-","-","N","N","410"
"10","2017","3","AK2220170","WASILLA CREEK COMMONS","AK","COPPER SUMMARY","1.63","01/01/2016","06/30/2016","A","CWS","Private","State","180","GW","-","-","-","N","N","60"
"10","2017","3","AK2240707","SELDOVIA WATER SYSTEM","AK","COPPER SUMMARY","1.9","07/01/2016","12/31/2016","A","CWS","Local government","State","418","SW","-","-","-","N","N","181"
"10","2017","3","AK2271033","ATMAUTLUAK WATER SYSTEM","AK","COPPER SUMMARY","1.8","01/01/2016","06/30/2016","A","CWS","Native American","State","311","GW","-","-","-","N","N","2"
"10","2017","3","AK2271083","YK DELTA REGIONAL HOSPITAL","AK","COPPER SUMMARY","4.7","01/01/2016","06/30/2016","A","CWS","Native American","State","575","GW","-","-","-","N","N","5"
"10","2017","3","AK2271334","YUKON KUSKOKWIM CORRECTIONAL","AK","COPPER SUMMARY","2.46","07/01/2016","12/31/2016","A","NTNCWS","State government","State","200","GW","-","01-01","12-31","N","N","2"
"10","2017","3","AK2271334","YUKON KUSKOKWIM CORRECTIONAL","AK","COPPER SUMMARY","5.18","01/01/2016","06/30/2016","A","NTNCWS","State government","State","200","GW","-","01-01","12-31","N","N","2"
"10","2017","3","AK2280040","SHAGELUK WATER SYSTEM","AK","COPPER SUMMARY","3.155","01/01/2016","06/30/2016","A","CWS","Native American","State","60","GW","-","-","-","N","N","4"
"10","2017","3","AK2280302","CROOKED CREEK WATERING POINT","AK","COPPER SUMMARY","2.65","07/01/2016","12/31/2016","A","CWS","Native American","State","147","GW","-","-","-","N","N","3"
"10","2017","3","AK2340125","BUCKLAND WATER SYSTEM","AK","COPPER SUMMARY","2.8","01/01/2017","06/30/2017","A","CWS","Local government","State","461","SW","-","-","-","N","N","101"
"10","2017","3","AK2340141","LITTLE DIOMEDE WATER SUPPLY","AK","COPPER SUMMARY","2.5","01/01/2016","06/30/2016","A","CWS","Native American","State","184","SW","-","-","-","N","N","5"
"10","2017","3","AK2340141","LITTLE DIOMEDE WATER SUPPLY","AK","COPPER SUMMARY","4.1","07/01/2016","12/31/2016","A","CWS","Native American","State","184","SW","-","-","-","N","N","5"
"10","2017","3","AK2340141","LITTLE DIOMEDE WATER SUPPLY","AK","COPPER SUMMARY","3.2","01/01/2017","06/30/2017","A","CWS","Native American","State","184","SW","-","-","-","N","N","5"
"10","2017","3","AK2340222","DEERING UTILITY SYSTEM","AK","COPPER SUMMARY","1.53","07/01/2016","12/31/2016","A","CWS","Local government","State","150","SW","-","-","-","N","N","3"
"10","2017","3","AK2340248","BERING ST SD - TELLER SC/WASH","AK","COPPER SUMMARY","1.78","07/01/2016","12/31/2016","A","CWS","Local government","State","295","SW","-","-","-","N","N","1"
"10","2017","3","AK2340387","UNALAKLEET CITY WATER SUPPLY","AK","COPPER SUMMARY","2.3","01/01/2016","06/30/2016","A","CWS","Local government","State","757","GU","-","-","-","N","N","245"
"10","2017","3","AK2360816","RAMPART WASHETERIA","AK","COPPER SUMMARY","1.65","07/01/2016","12/31/2016","A","CWS","Native American","State","53","GW","-","-","-","N","N","4"
"10","2017","3","AK2360816","RAMPART WASHETERIA","AK","COPPER SUMMARY","1.8","01/01/2017","06/30/2017","A","CWS","Native American","State","53","GW","-","-","-","N","N","4"
"04","2017","3","AL0000259","MID-CLARKE WATER SYSTEM","AL","COPPER SUMMARY","1.83","01/01/2017","06/30/2017","A","CWS","Local government","State","1500","GWP","-","-","-","N","N","500"
"09","2017","3","AZ0404233","SOLITUDE TRAILS DWID","AZ","COPPER SUMMARY","1.76","01/01/2016","12/31/2016","A","CWS","Private","State","90","GWP","-","-","-","N","N","75"
"09","2017","3","AZ0412348","TREE OF LIFE WATER SYSTEM","AZ","COPPER SUMMARY","1.6","01/01/2017","06/30/2017","A","NTNCWS","Local government","State","60","GW","-","01-01","12-31","N","N","2"
"09","2017","3","AZ0413036","JACKSON ACRES DWID","AZ","COPPER SUMMARY","2.08","01/01/2016","12/31/2016","A","CWS","Private","State","30","GW","-","-","-","N","N","15"
