"EPA Region","Submission Year","Submission Quarter","PWS ID","PWS Name","Primacy Agency Code","Contaminant Name","Sample Measure (mg/L)","Sampling Start Date","Sampling End Date","PWS Activity Code","PWS Type Code","Owner Type Description","Primacy Type Description","Population Served Count","Primary Source Code","PWS Deactivation Date","Season Begin Date","Season End Date","Is Wholesaler Ind","Is School Or Daycare Ind","Service Connections Count"
"01","2017","3","010109005","Mohegan Tribal Utility Authority","01","LEAD SUMMARY",".001","01/01/2016","12/31/2016","A","CWS","Native American","Tribal","37860","SWP","-","-","-","N","N","20"
"01","2017","3","010109005","Mohegan Tribal Utility Authority","01","LEAD SUMMARY",".001","01/01/2016","12/31/2016","A","CWS","Native American","Tribal","37860","SWP","-","-","-","N","N","20"
"01","2017","3","010109005","Mohegan Tribal Utility Authority","01","LEAD SUMMARY",".001","01/01/2016","12/31/2016","A","CWS","Native American","Tribal","37860","SWP","-","-","-","N","N","20"
"01","2017","3","010109005","Mohegan Tribal Utility Authority","01","LEAD SUMMARY",".001","01/01/2016","12/31/2016","A","CWS","Native American","Tribal","37860","SWP","-","-","-","N","N","20"
"01","2017","3","010109005","Mohegan Tribal Utility Authority","01","LEAD SUMMARY",".001","01/01/2016","12/31/2016","A","CWS","Native American","Tribal","37860","SWP","-","-","-","N","N","20"
"01","2017","3","010307001","Aquinnah Wampanoag","01","LEAD SUMMARY",".001","01/01/2016","12/31/2016","A","CWS","Native American","Tribal","84","GW","-","-","-","N","N","33"
"01","2017","3","010502002","Narragansett Indian Admin Building","01","LEAD SUMMARY",".0119","01/01/2017","06/30/2017","A","NTNCWS","Native American","Tribal","30","GW","-","01-01","12-31","N","N","1"
"01","2017","3","010502002","Narragansett Indian Admin Building","01","LEAD SUMMARY",".0127","01/01/2016","12/31/2016","A","NTNCWS","Native American","Tribal","30","GW","-","01-01","12-31","N","N","1"
"01","2017","3","010502002","Narragansett Indian Admin Building","01","LEAD SUMMARY",".0127","01/01/2016","12/31/2016","A","NTNCWS","Native American","Tribal","30","GW","-","01-01","12-31","N","N","1"
"01","2017","3","010502003","Narragansett Four Winds Community Center","01","LEAD SUMMARY",".0015","01/01/2017","06/30/2017","A","NTNCWS","Native American","Tribal","30","GW","-","01-01","12-31","N","Y","4"
"01","2017","3","010502003","Narragansett Four Winds Community Center","01","LEAD SUMMARY",".002","07/01/2016","12/31/2016","A","NTNCWS","Native American","Tribal","30","GW","-","01-01","12-31","N","Y","4"
"01","2017","3","010502003","Narragansett Four Winds Community Center","01","LEAD SUMMARY",".0026","07/01/2016","12/31/2016","A","NTNCWS","Native American","Tribal","30","GW","-","01-01","12-31","N","Y","4"
"01","2017","3","010502003","Narragansett Four Winds Community Center","01","LEAD SUMMARY",".0015","01/01/2016","06/30/2016","A","NTNCWS","Native American","Tribal","30","GW","-","01-01","12-31","N","Y","4"
"01","2017","3","010502003","Narragansett Four Winds Community Center","01","LEAD SUMMARY",".001","01/01/2016","06/30/2016","A","NTNCWS","Native American","Tribal","30","GW","-","01-01","12-31","N","Y","4"
"04","2017","3","041200001","SEMINOLE - BRIGHTON RESERVATION","04","LEAD SUMMARY",".000674","01/01/2016","12/31/2018","A","CWS","Native American","Tribal","900","GU","-","-","-","Y","N","200"
"04","2017","3","041200002","SEMINOLE - BIG CYPRESS","04","LEAD SUMMARY",".0024","01/01/2016","12/31/2018","A","CWS","Native American","Tribal","900","GW","-","-","-","N","N","300"
"04","2017","3","041200003","SEMINOLE UTILITIES HOLLYWOOD","04","LEAD SUMMARY","0","01/01/2016","12/31/2018","A","CWS","Native American","Tribal","2709","GW","-","-","-","N","N","959"
"04","2017","3","041200004","SEMINOLE UTILITIES IMMOKALEE","04","LEAD SUMMARY","0","01/01/2016","12/31/2018","A","CWS","Native American","Tribal","3101","GW","-","-","-","N","N","71"
"04","2017","3","041210001","MICCOSUKEE TRIBE OF INDIANS","04","LEAD SUMMARY",".0016","01/01/2017","06/30/2017","A","CWS","Native American","Tribal","500","GW","-","-","-","N","N","170"
"04","2017","3","041210001","MICCOSUKEE TRIBE OF INDIANS","04","LEAD SUMMARY",".0053","07/01/2016","12/31/2016","A","CWS","Native American","Tribal","500","GW","-","-","-","N","N","170"
"04","2017","3","041210001","MICCOSUKEE TRIBE OF INDIANS","04","LEAD SUMMARY",".0025","01/01/2016","06/30/2016","A","CWS","Native American","Tribal","500","GW","-","-","-","N","N","170"
"04","2017","3","042800005","CHOCTAW - BOK HOMA","04","LEAD SUMMARY",".0016","01/01/2016","12/31/2018","N","NTNCWS","Native American","Tribal","200","GW","17-MAR-2017","01-01","12-31","N","N","3"
"04","2017","3","043700056","CHEROKEE - ROUGH BRANCH WATER SYSTEM","04","LEAD SUMMARY","0","01/01/2016","12/31/2018","A","CWS","Native American","Tribal","192","GW","-","-","-","N","N","35"
"04","2017","3","043700056","CHEROKEE - ROUGH BRANCH WATER SYSTEM","04","LEAD SUMMARY","0","01/01/2017","12/31/2019","A","CWS","Native American","Tribal","192","GW","-","-","-","N","N","35"
"04","2017","3","043740039","CHEROKEE WATER SYSTEM","04","LEAD SUMMARY","0","01/01/2016","12/31/2018","A","CWS","Native American","Tribal","9694","SW","-","-","-","N","N","2331"
"04","2017","3","043740040","CHEROKEE- 3200 ACRE COMMUNITY WS","04","LEAD SUMMARY","0","07/01/2016","12/31/2016","A","CWS","Native American","Tribal","53","GWP","-","-","-","N","N","164"
"04","2017","3","043740043","CHEROKEE - SNOWBIRD/CORNSILK COMMUNITY","04","LEAD SUMMARY","0","01/01/2017","12/31/2019","A","CWS","Native American","Tribal","160","GW","-","-","-","N","Y","7"
"04","2017","3","043740043","CHEROKEE - SNOWBIRD/CORNSILK COMMUNITY","04","LEAD SUMMARY",".0067","01/01/2016","12/31/2018","A","CWS","Native American","Tribal","160","GW","-","-","-","N","Y","7"
"05","2017","3","050593804","ODAWA MACKINAW","05","LEAD SUMMARY",".014","07/01/2016","12/31/2016","A","NTNCWS","Native American","Tribal","625","GW","-","01-01","12-31","N","N","2"
"05","2017","3","050593804","ODAWA MACKINAW","05","LEAD SUMMARY",".063","01/01/2016","06/30/2016","A","NTNCWS","Native American","Tribal","625","GW","-","01-01","12-31","N","N","2"
"05","2017","3","050593804","ODAWA MACKINAW","05","LEAD SUMMARY",".003","01/01/2017","06/30/2017","A","NTNCWS","Native American","Tribal","625","GW","-","01-01","12-31","N","N","2"
"05","2017","3","050593910","FOUR WINDS DOWAGIAC","05","LEAD SUMMARY",".002","07/01/2016","12/31/2016","A","NTNCWS","Native American","Tribal","2271","GW","-","01-01","12-31","N","N","1"
"05","2017","3","050593910","FOUR WINDS DOWAGIAC","05","LEAD SUMMARY",".002","01/01/2016","06/30/2016","A","NTNCWS","Native American","Tribal","2271","GW","-","01-01","12-31","N","N","1"
"05","2017","3","050594204","BUG O-NAY-GE-SHIG SCHOOL","05","LEAD SUMMARY","0","07/01/2016","12/31/2016","A","NTNCWS","Native American","Tribal","260","GW","-","01-01","12-31","N","Y","1"
"05","2017","3","050594204","BUG O-NAY-GE-SHIG SCHOOL","05","LEAD SUMMARY",".0059","01/01/2016","06/30/2016","A","NTNCWS","Native American","Tribal","260","GW","-","01-01","12-31","N","Y","1"
"05","2017","3","050594204","BUG O-NAY-GE-SHIG SCHOOL","05","LEAD SUMMARY",".00116","01/01/2017","06/30/2017","A","NTNCWS","Native American","Tribal","260","GW","-","01-01","12-31","N","Y","1"
"05","2017","3","050594210","NORTHERN LIGHTS CASINO","05","LEAD SUMMARY","0","01/01/2017","06/30/2017","A","NTNCWS","Native American","Tribal","1650","GW","-","01-01","12-31","N","N","1"
"05","2017","3","050594210","NORTHERN LIGHTS CASINO","05","LEAD SUMMARY","0","07/01/2016","12/31/2016","A","NTNCWS","Native American","Tribal","1650","GW","-","01-01","12-31","N","N","1"
"05","2017","3","050594212","BUG SCHOOL - GYMNASIUM","05","LEAD SUMMARY",".0159","01/01/2017","06/30/2017","A","NTNCWS","Native American","Tribal","260","GW","-","01-01","12-31","N","Y","15"
"05","2017","3","050594212","BUG SCHOOL - GYMNASIUM","05","LEAD SUMMARY",".008","01/01/2016","06/30/2016","A","NTNCWS","Native American","Tribal","260","GW","-","01-01","12-31","N","Y","15"
"05","2017","3","050594212","BUG SCHOOL - GYMNASIUM","05","LEAD SUMMARY",".00273","07/01/2016","12/31/2016","A","NTNCWS","Native American","Tribal","260","GW","-","01-01","12-31","N","Y","15"
"05","2017","3","050594220","BALL CLUB HEAD START","05","LEAD SUMMARY","0","01/01/2017","06/30/2017","A","NTNCWS","Native American","Tribal","25","GW","-","01-01","12-31","N","Y","1"
